,Cell type,test,cell tissue,cell source,material
208,Caco-2,CellTiterBlue,Colon,Human,Ag
209,Caco-2,CellTiterBlue,Colon,Human,Ag
210,Caco-2,CellTiterBlue,Colon,Human,Ag
211,Caco-2,CellTiterBlue,Colon,Human,Ag
212,Caco-2,CellTiterBlue,Colon,Human,Ag
213,Caco-2,CellTiterBlue,Colon,Human,Ag
214,Caco-2,CellTiterBlue,Colon,Human,Ag
215,Caco-2,CellTiterBlue,Colon,Human,Ag
216,Caco-2,CellTiterBlue,Colon,Human,Ag
217,Caco-2,CellTiterBlue,Colon,Human,Ag
218,Caco-2,CellTiterBlue,Colon,Human,Ag
219,Caco-2,CellTiterBlue,Colon,Human,Ag
220,Caco-2,CellTiterBlue,Colon,Human,Ag
221,Caco-2,CellTiterBlue,Colon,Human,Ag
222,Caco-2,CellTiterBlue,Colon,Human,Ag
223,Caco-2,CellTiterBlue,Colon,Human,Ag
224,A549,MTT,Lung,Human,Fe3O4
225,A549,MTT,Lung,Human,Fe3O4
226,A549,MTT,Lung,Human,Fe3O4
227,A549,NRU,Lung,Human,Fe3O4
228,A549,NRU,Lung,Human,Fe3O4
229,A549,NRU,Lung,Human,Fe3O4
230,KEC,MTS,Skin,Human,Ag
231,KEC,MTS,Skin,Human,Ag
232,KEC,MTS,Skin,Human,Ag
233,KEC,MTS,Skin,Human,Ag
234,KEC,MTS,Skin,Human,Ag
235,KEC,MTS,Skin,Human,Ag
236,KEC,MTS,Skin,Human,Ag
237,KEC,MTS,Skin,Human,Ag
238,KEC,MTS,Skin,Human,Ag
239,KEC,MTS,Skin,Human,Ag
240,KEC,MTS,Skin,Human,Ag
241,KEC,MTS,Skin,Human,Ag
242,KEC,MTS,Skin,Human,Ag
243,KEC,MTS,Skin,Human,Ag
244,KEC,MTS,Skin,Human,Ag
245,KEC,MTS,Skin,Human,Ag
246,A431,MTT,Skin,Human,TiO2
247,A431,MTT,Skin,Human,TiO2
248,A431,MTT,Skin,Human,TiO2
249,A431,MTT,Skin,Human,TiO2
250,A431,MTT,Skin,Human,TiO2
251,A431,MTT,Skin,Human,TiO2
252,A431,MTT,Skin,Human,TiO2
253,A431,MTT,Skin,Human,TiO2
254,A431,MTT,Skin,Human,TiO2
255,A431,MTT,Skin,Human,TiO2
256,A431,MTT,Skin,Human,TiO2
257,A431,MTT,Skin,Human,TiO2
258,A431,MTT,Skin,Human,TiO2
259,A431,MTT,Skin,Human,TiO2
260,A431,MTT,Skin,Human,TiO2
261,A431,NRU,Skin,Human,TiO2
262,A431,NRU,Skin,Human,TiO2
263,A431,NRU,Skin,Human,TiO2
264,A431,NRU,Skin,Human,TiO2
265,A431,NRU,Skin,Human,TiO2
266,A431,NRU,Skin,Human,TiO2
267,A431,NRU,Skin,Human,TiO2
268,A431,NRU,Skin,Human,TiO2
269,A431,NRU,Skin,Human,TiO2
270,A431,NRU,Skin,Human,TiO2
271,A431,NRU,Skin,Human,TiO2
272,A431,NRU,Skin,Human,TiO2
273,A431,NRU,Skin,Human,TiO2
274,A431,NRU,Skin,Human,TiO2
275,A431,NRU,Skin,Human,TiO2
297,MG-63,MTT,Bone,Human,Au
298,MG-63,MTT,Bone,Human,Au
299,MG-63,MTT,Bone,Human,Au
300,MG-63,MTT,Bone,Human,Au
301,MG-63,MTT,Bone,Human,Au
302,MG-63,MTT,Bone,Human,Au
303,MG-63,MTT,Bone,Human,Au
304,MG-63,MTT,Bone,Human,Au
305,MG-63,MTT,Bone,Human,Au
306,SHSY5Y,MTT,BoneMarrow,Human,TiO2
307,SHSY5Y,MTT,BoneMarrow,Human,TiO2
308,SHSY5Y,MTT,BoneMarrow,Human,TiO2
309,SHSY5Y,MTT,BoneMarrow,Human,TiO2
310,THP-1,MTT,Blood,Human,TiO2
311,THP-1,MTT,Blood,Human,TiO2
312,THP-1,MTT,Blood,Human,TiO2
313,THP-1,MTT,Blood,Human,TiO2
314,Lymphocyte,MTT,Blood,Human,ZnO
315,Lymphocyte,MTT,Blood,Human,ZnO
316,Lymphocyte,MTT,Blood,Human,ZnO
317,Lymphocyte,MTT,Blood,Human,ZnO
318,Lymphocyte,Live/Dead,Blood,Human,ZnO
319,Lymphocyte,Live/Dead,Blood,Human,ZnO
320,Lymphocyte,Live/Dead,Blood,Human,ZnO
321,Lymphocyte,Live/Dead,Blood,Human,ZnO
322,SKOV-3,MTT,Ovary,Human,Fe3O4
323,SKOV-3,MTT,Ovary,Human,Fe3O4
324,SKOV-3,MTT,Ovary,Human,Fe3O4
325,SKOV-3,MTT,Ovary,Human,Fe3O4
326,SKOV-3,MTT,Ovary,Human,Fe3O4
327,SKOV-3,MTT,Ovary,Human,Fe3O4
328,SKOV-3,MTT,Ovary,Human,Fe3O4
329,SKOV-3,MTT,Ovary,Human,Fe3O4
330,SKOV-3,MTT,Ovary,Human,Fe3O4
331,SKOV-3,MTT,Ovary,Human,Fe3O4
332,SKOV-3,MTT,Ovary,Human,Fe3O4
333,SKOV-3,MTT,Ovary,Human,Fe3O4
334,SKOV-3,MTT,Ovary,Human,Fe3O4
335,SKOV-3,MTT,Ovary,Human,Fe3O4
336,SKOV-3,MTT,Ovary,Human,Fe3O4
337,SKOV-3,MTT,Ovary,Human,Fe3O4
338,SKOV-3,MTT,Ovary,Human,Fe3O4
339,SKOV-3,MTT,Ovary,Human,Fe3O4
340,SKOV-3,MTT,Ovary,Human,Fe3O4
341,SKOV-3,MTT,Ovary,Human,Fe3O4
342,SKOV-3,MTT,Ovary,Human,Fe3O4
343,SKOV-3,MTT,Ovary,Human,Fe3O4
344,SKOV-3,MTT,Ovary,Human,Fe3O4
345,SKOV-3,MTT,Ovary,Human,Fe3O4
346,SKOV-3,MTT,Ovary,Human,Fe3O4
347,SKOV-3,MTT,Ovary,Human,Fe3O4
348,SKOV-3,MTT,Ovary,Human,Fe3O4
349,SKOV-3,MTT,Ovary,Human,Fe3O4
350,SKOV-3,MTT,Ovary,Human,Fe3O4
351,SKOV-3,MTT,Ovary,Human,Fe3O4
352,SKOV-3,MTT,Ovary,Human,Fe3O4
353,SKOV-3,MTT,Ovary,Human,Fe3O4
354,SKOV-3,MTT,Ovary,Human,Fe3O4
355,SKOV-3,MTT,Ovary,Human,Fe3O4
356,SKOV-3,MTT,Ovary,Human,Fe3O4
357,SKOV-3,MTT,Ovary,Human,Fe3O4
358,SKOV-3,LDH,Ovary,Human,Fe3O4
359,SKOV-3,LDH,Ovary,Human,Fe3O4
360,SKOV-3,LDH,Ovary,Human,Fe3O4
361,SKOV-3,LDH,Ovary,Human,Fe3O4
362,SKOV-3,LDH,Ovary,Human,Fe3O4
363,SKOV-3,LDH,Ovary,Human,Fe3O4
364,SKOV-3,LDH,Ovary,Human,Fe3O4
365,SKOV-3,LDH,Ovary,Human,Fe3O4
366,SKOV-3,LDH,Ovary,Human,Fe3O4
367,SKOV-3,LDH,Ovary,Human,Fe3O4
368,SKOV-3,LDH,Ovary,Human,Fe3O4
369,SKOV-3,LDH,Ovary,Human,Fe3O4
370,NIH3T3,MTS,Embryo,Mouse,Au
371,NIH3T3,MTS,Embryo,Mouse,Au
372,NIH3T3,MTS,Embryo,Mouse,Au
373,NIH3T3,MTS,Embryo,Mouse,Au
374,NIH3T3,MTS,Embryo,Mouse,Au
375,NIH3T3,MTS,Embryo,Mouse,Au
376,PK-15,MTS,Kidney,Porcine,Au
377,PK-15,MTS,Kidney,Porcine,Au
378,PK-15,MTS,Kidney,Porcine,Au
379,PK-15,MTS,Kidney,Porcine,Au
380,PK-15,MTS,Kidney,Porcine,Au
381,PK-15,MTS,Kidney,Porcine,Au
382,VERO,MTS,Kidney,Monkey,Au
383,VERO,MTS,Kidney,Monkey,Au
384,VERO,MTS,Kidney,Monkey,Au
385,VERO,MTS,Kidney,Monkey,Au
386,VERO,MTS,Kidney,Monkey,Au
387,VERO,MTS,Kidney,Monkey,Au
388,A431,MTT,Skin,Human,SiO2
389,A431,MTT,Skin,Human,SiO2
390,A431,MTT,Skin,Human,SiO2
391,A431,MTT,Skin,Human,SiO2
392,A549,MTT,Lung,Human,SiO2
393,A549,MTT,Lung,Human,SiO2
394,A549,MTT,Lung,Human,SiO2
395,A549,MTT,Lung,Human,SiO2
396,HepG2,MTT,Liver,Human,SiO2
397,HepG2,MTT,Liver,Human,SiO2
398,HepG2,MTT,Liver,Human,SiO2
399,HepG2,MTT,Liver,Human,SiO2
400,HepG2,MTT,Liver,Human,SiO2
401,HepG2,MTT,Liver,Human,SiO2
402,HepG2,MTT,Liver,Human,SiO2
403,HepG2,NRU,Liver,Human,SiO2
404,HepG2,NRU,Liver,Human,SiO2
405,HepG2,NRU,Liver,Human,SiO2
406,HepG2,NRU,Liver,Human,SiO2
407,HepG2,NRU,Liver,Human,SiO2
408,HepG2,NRU,Liver,Human,SiO2
409,HepG2,NRU,Liver,Human,SiO2
410,Caco-2,AlamarBlue,Colon,Human,SiO2
411,Caco-2,AlamarBlue,Colon,Human,SiO2
412,Caco-2,AlamarBlue,Colon,Human,SiO2
413,Caco-2,AlamarBlue,Colon,Human,SiO2
414,Caco-2,AlamarBlue,Colon,Human,SiO2
415,Caco-2,AlamarBlue,Colon,Human,SiO2
416,Caco-2,AlamarBlue,Colon,Human,SiO2
417,Caco-2,AlamarBlue,Colon,Human,SiO2
418,Caco-2,AlamarBlue,Colon,Human,SiO2
419,Caco-2,AlamarBlue,Colon,Human,SiO2
420,Caco-2,AlamarBlue,Colon,Human,SiO2
421,Caco-2,AlamarBlue,Colon,Human,SiO2
422,Caco-2,AlamarBlue,Colon,Human,SiO2
423,Caco-2,AlamarBlue,Colon,Human,SiO2
424,Caco-2,AlamarBlue,Colon,Human,SiO2
425,Caco-2,AlamarBlue,Colon,Human,SiO2
426,Caco-2,AlamarBlue,Colon,Human,SiO2
427,Caco-2,AlamarBlue,Colon,Human,SiO2
428,Caco-2,AlamarBlue,Colon,Human,SiO2
429,Caco-2,AlamarBlue,Colon,Human,SiO2
430,Caco-2,AlamarBlue,Colon,Human,SiO2
431,Caco-2,AlamarBlue,Colon,Human,SiO2
432,Caco-2,AlamarBlue,Colon,Human,SiO2
433,Caco-2,AlamarBlue,Colon,Human,SiO2
434,HepG2,AlamarBlue,Liver,Human,SiO2
435,HepG2,AlamarBlue,Liver,Human,SiO2
436,HepG2,AlamarBlue,Liver,Human,SiO2
437,HepG2,AlamarBlue,Liver,Human,SiO2
438,HepG2,AlamarBlue,Liver,Human,SiO2
439,HepG2,AlamarBlue,Liver,Human,SiO2
440,HepG2,AlamarBlue,Liver,Human,SiO2
441,HepG2,AlamarBlue,Liver,Human,SiO2
442,HepG2,AlamarBlue,Liver,Human,SiO2
443,HepG2,AlamarBlue,Liver,Human,SiO2
444,HepG2,AlamarBlue,Liver,Human,SiO2
445,HepG2,AlamarBlue,Liver,Human,SiO2
446,HepG2,AlamarBlue,Liver,Human,SiO2
447,HepG2,AlamarBlue,Liver,Human,SiO2
448,HepG2,AlamarBlue,Liver,Human,SiO2
449,HepG2,AlamarBlue,Liver,Human,SiO2
450,HepG2,AlamarBlue,Liver,Human,SiO2
451,HepG2,AlamarBlue,Liver,Human,SiO2
452,HepG2,AlamarBlue,Liver,Human,SiO2
453,HepG2,AlamarBlue,Liver,Human,SiO2
454,HepG2,AlamarBlue,Liver,Human,SiO2
455,HepG2,AlamarBlue,Liver,Human,SiO2
456,HepG2,AlamarBlue,Liver,Human,SiO2
457,HepG2,AlamarBlue,Liver,Human,SiO2
458,A549,MTT,Lung,Human,SiO2
459,A549,MTT,Lung,Human,SiO2
460,A549,MTT,Lung,Human,SiO2
461,A549,MTT,Lung,Human,SiO2
462,A549,MTT,Lung,Human,SiO2
463,A549,MTT,Lung,Human,SiO2
464,A549,MTT,Lung,Human,SiO2
465,A549,MTT,Lung,Human,SiO2
466,A549,MTT,Lung,Human,SiO2
467,A549,MTT,Lung,Human,SiO2
468,A549,MTT,Lung,Human,SiO2
469,A549,MTT,Lung,Human,SiO2
470,A549,MTT,Lung,Human,SiO2
471,A549,MTT,Lung,Human,SiO2
472,A549,MTT,Lung,Human,SiO2
473,A549,MTT,Lung,Human,SiO2
474,A549,MTT,Lung,Human,SiO2
475,A549,MTT,Lung,Human,SiO2
476,A549,MTT,Lung,Human,SiO2
477,A549,MTT,Lung,Human,SiO2
478,A549,MTT,Lung,Human,SiO2
479,A549,MTT,Lung,Human,SiO2
480,A549,MTT,Lung,Human,SiO2
481,A549,MTT,Lung,Human,SiO2
482,A549,MTT,Lung,Human,SiO2
483,A549,MTT,Lung,Human,SiO2
484,A549,MTT,Lung,Human,SiO2
485,A549,MTT,Lung,Human,SiO2
486,A549,MTT,Lung,Human,SiO2
487,A549,MTT,Lung,Human,SiO2
488,A549,MTT,Lung,Human,SiO2
489,A549,MTT,Lung,Human,SiO2
490,A549,MTT,Lung,Human,SiO2
491,A549,MTT,Lung,Human,SiO2
492,A549,MTT,Lung,Human,SiO2
493,A549,MTT,Lung,Human,SiO2
494,A549,MTT,Lung,Human,SiO2
495,A549,MTT,Lung,Human,SiO2
496,A549,MTT,Lung,Human,SiO2
497,A549,MTT,Lung,Human,SiO2
498,NIH3T3,MTT,Embryo,Mouse,SiO2
499,NIH3T3,MTT,Embryo,Mouse,SiO2
500,NIH3T3,MTT,Embryo,Mouse,SiO2
501,NIH3T3,MTT,Embryo,Mouse,SiO2
502,NIH3T3,MTT,Embryo,Mouse,SiO2
503,NIH3T3,MTT,Embryo,Mouse,SiO2
504,NIH3T3,MTT,Embryo,Mouse,SiO2
505,NIH3T3,MTT,Embryo,Mouse,SiO2
506,NIH3T3,MTT,Embryo,Mouse,SiO2
507,NIH3T3,MTT,Embryo,Mouse,SiO2
508,NIH3T3,MTT,Embryo,Mouse,SiO2
509,NIH3T3,MTT,Embryo,Mouse,SiO2
510,NIH3T3,MTT,Embryo,Mouse,SiO2
511,NIH3T3,MTT,Embryo,Mouse,SiO2
512,NIH3T3,MTT,Embryo,Mouse,SiO2
513,NIH3T3,MTT,Embryo,Mouse,SiO2
514,NIH3T3,MTT,Embryo,Mouse,SiO2
515,NIH3T3,MTT,Embryo,Mouse,SiO2
516,NIH3T3,MTT,Embryo,Mouse,SiO2
517,NIH3T3,MTT,Embryo,Mouse,SiO2
518,NIH3T3,MTT,Embryo,Mouse,SiO2
519,NIH3T3,MTT,Embryo,Mouse,SiO2
520,NIH3T3,MTT,Embryo,Mouse,SiO2
521,NIH3T3,MTT,Embryo,Mouse,SiO2
522,NIH3T3,MTT,Embryo,Mouse,SiO2
523,NIH3T3,MTT,Embryo,Mouse,SiO2
524,NIH3T3,MTT,Embryo,Mouse,SiO2
525,NIH3T3,MTT,Embryo,Mouse,SiO2
526,NIH3T3,MTT,Embryo,Mouse,SiO2
527,NIH3T3,MTT,Embryo,Mouse,SiO2
528,NIH3T3,MTT,Embryo,Mouse,SiO2
529,NIH3T3,MTT,Embryo,Mouse,SiO2
530,NIH3T3,MTT,Embryo,Mouse,SiO2
531,NIH3T3,MTT,Embryo,Mouse,SiO2
532,NIH3T3,MTT,Embryo,Mouse,SiO2
533,NIH3T3,MTT,Embryo,Mouse,SiO2
534,NIH3T3,MTT,Embryo,Mouse,SiO2
535,NIH3T3,MTT,Embryo,Mouse,SiO2
536,NIH3T3,MTT,Embryo,Mouse,SiO2
537,NIH3T3,MTT,Embryo,Mouse,SiO2
538,HepG2,MTT,Liver,Human,SiO2
539,HepG2,MTT,Liver,Human,SiO2
540,HepG2,MTT,Liver,Human,SiO2
541,HepG2,MTT,Liver,Human,SiO2
542,HepG2,MTT,Liver,Human,SiO2
543,HepG2,MTT,Liver,Human,SiO2
544,HepG2,MTT,Liver,Human,SiO2
545,HepG2,MTT,Liver,Human,SiO2
546,HepG2,MTT,Liver,Human,SiO2
547,HepG2,MTT,Liver,Human,SiO2
548,HepG2,MTT,Liver,Human,SiO2
549,HepG2,MTT,Liver,Human,SiO2
550,HepG2,MTT,Liver,Human,SiO2
551,HepG2,MTT,Liver,Human,SiO2
552,HepG2,MTT,Liver,Human,SiO2
553,HepG2,MTT,Liver,Human,SiO2
554,HepG2,MTT,Liver,Human,SiO2
555,HepG2,MTT,Liver,Human,SiO2
556,HepG2,MTT,Liver,Human,SiO2
557,HepG2,MTT,Liver,Human,SiO2
558,HepG2,MTT,Liver,Human,SiO2
559,HepG2,MTT,Liver,Human,SiO2
560,HepG2,MTT,Liver,Human,SiO2
561,HepG2,MTT,Liver,Human,SiO2
562,HepG2,MTT,Liver,Human,SiO2
563,HepG2,MTT,Liver,Human,SiO2
564,HepG2,MTT,Liver,Human,SiO2
565,HepG2,MTT,Liver,Human,SiO2
566,HepG2,MTT,Liver,Human,SiO2
567,HepG2,MTT,Liver,Human,SiO2
568,HepG2,MTT,Liver,Human,SiO2
569,HepG2,MTT,Liver,Human,SiO2
570,HepG2,MTT,Liver,Human,SiO2
571,HepG2,MTT,Liver,Human,SiO2
572,HepG2,MTT,Liver,Human,SiO2
573,HepG2,MTT,Liver,Human,SiO2
574,HepG2,MTT,Liver,Human,SiO2
575,HepG2,MTT,Liver,Human,SiO2
576,HepG2,MTT,Liver,Human,SiO2
577,HepG2,MTT,Liver,Human,SiO2
578,HEK293,MTS,Kidney,Human,Pt
579,HEK293,MTS,Kidney,Human,Pt
580,HEK293,MTS,Kidney,Human,Pt
581,HEK293,MTS,Kidney,Human,Pt
582,HEK293,MTS,Kidney,Human,Pt
583,HEK293,MTS,Kidney,Human,Pt
584,HEK293,MTS,Kidney,Human,Pt
585,HEK293,MTS,Kidney,Human,Pt
586,HEK293,MTS,Kidney,Human,Pt
587,HEK293,MTS,Kidney,Human,Pt
588,HEK293,MTS,Kidney,Human,Pt
589,HEK293,MTS,Kidney,Human,Pt
590,HEK293,NRU,Kidney,Human,Pt
591,HEK293,NRU,Kidney,Human,Pt
592,HEK293,NRU,Kidney,Human,Pt
593,HEK293,NRU,Kidney,Human,Pt
594,HEK293,NRU,Kidney,Human,Pt
595,HEK293,NRU,Kidney,Human,Pt
596,HEK293,NRU,Kidney,Human,Pt
597,HEK293,NRU,Kidney,Human,Pt
598,HEK293,NRU,Kidney,Human,Pt
599,HEK293,NRU,Kidney,Human,Pt
600,HEK293,NRU,Kidney,Human,Pt
601,HEK293,NRU,Kidney,Human,Pt
602,MCF-7,MTT,Breast,Human,Pt
603,MCF-7,MTT,Breast,Human,Pt
604,MCF-7,MTT,Breast,Human,Pt
605,MCF-7,MTT,Breast,Human,Pt
606,MCF-7,MTT,Breast,Human,Pt
607,MCF-7,MTT,Breast,Human,Pt
608,MCF-7,MTT,Breast,Human,Pt
609,MCF-7,MTT,Breast,Human,Pt
610,MCF-7,MTT,Breast,Human,Pt
611,MCF-7,MTT,Breast,Human,Pt
612,MCF-7,MTT,Breast,Human,Pt
613,MCF-7,MTT,Breast,Human,Pt
614,MCF-7,MTT,Breast,Human,Pt
615,MCF-7,MTT,Breast,Human,Pt
616,MCF-7,MTT,Breast,Human,Pt
617,MCF-7,MTT,Breast,Human,Pt
618,MCF-7,MTT,Breast,Human,Pt
619,MCF-7,MTT,Breast,Human,Pt
620,THP-1,CCK-8,Blood,Human,Pt
621,THP-1,CCK-8,Blood,Human,Pt
622,THP-1,CCK-8,Blood,Human,Pt
623,THP-1,CCK-8,Blood,Human,Pt
624,THP-1,CCK-8,Blood,Human,Pt
625,THP-1,CCK-8,Blood,Human,Pt
626,HepG2,MTS,Liver,Human,Pt
627,HepG2,MTS,Liver,Human,Pt
628,HepG2,MTS,Liver,Human,Pt
629,HaCat,MTT,Skin,Human,CuO
630,HaCat,MTT,Skin,Human,CuO
631,HaCat,MTT,Skin,Human,CuO
632,HaCat,MTT,Skin,Human,CuO
633,HaCat,MTT,Skin,Human,CuO
634,HaCat,MTT,Skin,Human,CuO
635,HaCat,MTT,Skin,Human,CuO
636,HaCat,MTT,Skin,Human,CuO
637,SIRC,MTT,Cornea,Rabbit,TiO2
638,SIRC,MTT,Cornea,Rabbit,TiO2
639,SIRC,MTT,Cornea,Rabbit,TiO2
640,SIRC,MTT,Cornea,Rabbit,TiO2
641,SIRC,MTT,Cornea,Rabbit,TiO2
642,SIRC,MTT,Cornea,Rabbit,TiO2
643,SIRC,MTT,Cornea,Rabbit,ZnO
644,SIRC,MTT,Cornea,Rabbit,ZnO
645,SIRC,MTT,Cornea,Rabbit,ZnO
646,SIRC,MTT,Cornea,Rabbit,ZnO
647,SIRC,MTT,Cornea,Rabbit,ZnO
648,SIRC,MTT,Cornea,Rabbit,ZnO
649,SIRC,MTT,Cornea,Rabbit,SiO2
650,SIRC,MTT,Cornea,Rabbit,SiO2
651,SIRC,MTT,Cornea,Rabbit,SiO2
652,SIRC,MTT,Cornea,Rabbit,SiO2
653,SIRC,MTT,Cornea,Rabbit,SiO2
654,SIRC,MTT,Cornea,Rabbit,SiO2
655,SIRC,MTT,Cornea,Rabbit,CeO2
656,SIRC,MTT,Cornea,Rabbit,CeO2
657,SIRC,MTT,Cornea,Rabbit,CeO2
658,SIRC,MTT,Cornea,Rabbit,CeO2
659,SIRC,MTT,Cornea,Rabbit,CeO2
660,SIRC,MTT,Cornea,Rabbit,CeO2
661,SIRC,MTT,Cornea,Rabbit,Ag
662,SIRC,MTT,Cornea,Rabbit,Ag
663,SIRC,MTT,Cornea,Rabbit,Ag
