,material,shape,coat/functional group,synthesismethod,surface charge,size in medium (nm),zeta in medium (mV),no of cells (cells/well),human/animal,cell source,cell tissue,cell morphology,cell age,time (hr),concentration (ug/ml),test,test indicator,viability (%),DOI,core size (nm),surface area,Hydrodynamic diameter (nm),Zeta potential (mV),Cell type,Molecular weight (g/mol),norm by time+conc,Zeta norm,Zeta norm (log),Hydro norm,Hydro norm (log),size med norm,size med norm (log),zeta med norm,zeta med norm (log),surf norm,surf norm (log),mol wt norm,mol wt norm (log),Zeta/Diam norm,Zeta/Diam norm (log),zeta/surf norm,zeta/surf norm (log),zeta/(hydro*surf) norm,zeta/(hydro*surf) norm (log),hydro/core,hydro/core norm,hydro/core norm (log),ch per particle norm,ch per particle norm (log),surf per particle norm,surf per particle norm (log),ch per surf per particle norm,ch per surf per particle norm (log),ch per moles norm,ch per moles norm (log)
13,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,15.6,MTT,TetrazoliumSalt,106.06,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,374.4,-0.09588675213675214,,1.0333867521367521,0.014262889655177323,0.24062500000000003,-0.6186592531474241,,,,,0.16048159722222224,-0.7945747619074958,-0.0002478334250109903,,,,,,,,,,,,,,,-0.0015958700721827735,
14,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,31.2,MTT,TetrazoliumSalt,84.93,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,748.8,-0.04794337606837607,,0.5166933760683761,-0.2867671060088039,0.12031250000000002,-0.9196892488114052,,,,,0.08024079861111112,-1.095604757571477,-0.00012391671250549515,,,,,,,,,,,,,,,-0.0007979350360913868,
15,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,62.5,MTT,TetrazoliumSalt,96.127,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,1500.0,-0.02393333333333333,,0.2579333333333333,-0.5884925293344364,0.06006,-1.2214146721370378,,,,,0.04005620666666667,-1.3973301808971095,-6.185922288274316e-05,,,,,,,,,,,,,,,-0.00039832917001682023,
16,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,125.0,MTT,TetrazoliumSalt,94.225,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,3000.0,-0.011966666666666665,,0.12896666666666665,-0.8895225249984176,0.03003,-1.5224446678010188,,,,,0.020028103333333335,-1.6983601765610905,-3.092961144137158e-05,,,,,,,,,,,,,,,-0.00019916458500841012,
17,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,250.0,MTT,TetrazoliumSalt,103.94,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,6000.0,-0.005983333333333333,,0.06448333333333332,-1.1905525206623988,0.015015,-1.823474663465,,,,,0.010014051666666668,-1.9993901722250718,-1.546480572068579e-05,,,,,,,,,,,,,,,-9.958229250420506e-05,
18,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,500.0,MTT,TetrazoliumSalt,79.014,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,12000.0,-0.0029916666666666663,,0.03224166666666666,-1.49158251632638,0.0075075,-2.124504659128981,,,,,0.005007025833333334,-2.300420167889053,-7.732402860342896e-06,,,,,,,,,,,,,,,-4.979114625210253e-05,
19,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1000.0,MTT,TetrazoliumSalt,63.803,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431,24000.0,-0.0014958333333333332,,0.01612083333333333,-1.792612511990361,0.00375375,-2.4255346547929624,,,,,0.002503512916666667,-2.601450163553034,-3.866201430171448e-06,,,,,,,,,,,,,,,-2.4895573126051264e-05,
20,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1.95,MTT,TetrazoliumSalt,97.463,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,23.4,-1.1452991452991454,,16.042735042735043,1.2052784108751846,5.804700854700855,0.7637798432821226,,,,,2.567705555555556,0.40954522074842903,-0.003050876785559791,,,,,,,,,,,,,,,-0.019061534455486723,
21,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,3.9,MTT,TetrazoliumSalt,95.486,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,46.8,-0.5726495726495727,,8.021367521367521,0.9042484152112035,2.9023504273504277,0.46274984761814136,,,,,1.283852777777778,0.10851522508444782,-0.0015254383927798955,,,,,,,,,,,,,,,-0.009530767227743361,
22,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,7.8,MTT,TetrazoliumSalt,89.951,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,93.6,-0.28632478632478636,,4.010683760683761,0.6032184195472223,1.4511752136752138,0.16171985195416014,,,,,0.641926388888889,-0.19251477057953337,-0.0007627191963899477,,,,,,,,,,,,,,,-0.004765383613871681,
23,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,15.6,MTT,TetrazoliumSalt,105.96,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,187.2,-0.14316239316239318,,2.0053418803418803,0.3021884238832411,0.7255876068376069,-0.13931014370982106,,,,,0.3209631944444445,-0.49354476624351457,-0.00038135959819497387,,,,,,,,,,,,,,,-0.0023826918069358403,
24,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,31.2,MTT,TetrazoliumSalt,95.091,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,374.4,-0.07158119658119659,,1.0026709401709402,0.0011584282192598867,0.36279380341880346,-0.44034013937380223,,,,,0.16048159722222224,-0.7945747619074958,-0.00019067979909748693,,,,,,,,,,,,,,,-0.0011913459034679202,
25,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,62.5,MTT,TetrazoliumSalt,96.474,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,750.0,-0.03573333333333333,,0.5005333333333333,-0.3005669951063726,0.1811066666666667,-0.7420655626994347,,,,,0.08011241333333334,-1.0963001852331282,-9.518735570946546e-05,,,,,,,,,,,,,,,-0.0005947198750111858,
26,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,125.0,MTT,TetrazoliumSalt,94.3,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,1500.0,-0.017866666666666666,,0.25026666666666664,-0.6015969907703538,0.09055333333333335,-1.0430955583634158,,,,,0.04005620666666667,-1.3973301808971095,-4.759367785473273e-05,,,,,,,,,,,,,,,-0.0002973599375055929,
27,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,250.0,MTT,TetrazoliumSalt,72.356,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,3000.0,-0.008933333333333333,,0.12513333333333332,-0.902626986434335,0.04527666666666667,-1.344125554027397,,,,,0.020028103333333335,-1.6983601765610905,-2.3796838927366365e-05,,,,,,,,,,,,,,,-0.00014867996875279644,
28,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,500.0,MTT,TetrazoliumSalt,70.774,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,6000.0,-0.0044666666666666665,,0.06256666666666666,-1.203656982098316,0.022638333333333337,-1.6451555496913783,,,,,0.010014051666666668,-1.9993901722250718,-1.1898419463683182e-05,,,,,,,,,,,,,,,-7.433998437639822e-05,
29,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1000.0,MTT,TetrazoliumSalt,71.763,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,12000.0,-0.0022333333333333333,,0.03128333333333333,-1.5046869777622973,0.011319166666666668,-1.9461855453553594,,,,,0.005007025833333334,-2.300420167889053,-5.949209731841591e-06,,,,,,,,,,,,,,,-3.716999218819911e-05,
30,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1.95,MTT,TetrazoliumSalt,103.52,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,46.8,-0.5726495726495727,,8.021367521367521,0.9042484152112035,2.9023504273504277,0.46274984761814136,,,,,1.283852777777778,0.10851522508444782,-0.0015254383927798955,,,,,,,,,,,,,,,-0.009530767227743361,
31,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,3.9,MTT,TetrazoliumSalt,96.761,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,93.6,-0.28632478632478636,,4.010683760683761,0.6032184195472223,1.4511752136752138,0.16171985195416014,,,,,0.641926388888889,-0.19251477057953337,-0.0007627191963899477,,,,,,,,,,,,,,,-0.004765383613871681,
32,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,7.8,MTT,TetrazoliumSalt,109.86,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,187.2,-0.14316239316239318,,2.0053418803418803,0.3021884238832411,0.7255876068376069,-0.13931014370982106,,,,,0.3209631944444445,-0.49354476624351457,-0.00038135959819497387,,,,,,,,,,,,,,,-0.0023826918069358403,
33,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,15.6,MTT,TetrazoliumSalt,122.75,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,374.4,-0.07158119658119659,,1.0026709401709402,0.0011584282192598867,0.36279380341880346,-0.44034013937380223,,,,,0.16048159722222224,-0.7945747619074958,-0.00019067979909748693,,,,,,,,,,,,,,,-0.0011913459034679202,
34,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,31.2,MTT,TetrazoliumSalt,104.58,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,748.8,-0.035790598290598295,,0.5013354700854701,-0.2998715674447213,0.18139690170940173,-0.7413701350377835,,,,,0.08024079861111112,-1.095604757571477,-9.533989954874347e-05,,,,,,,,,,,,,,,-0.0005956729517339601,
35,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,62.5,MTT,TetrazoliumSalt,118.73,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,1500.0,-0.017866666666666666,,0.25026666666666664,-0.6015969907703538,0.09055333333333335,-1.0430955583634158,,,,,0.04005620666666667,-1.3973301808971095,-4.759367785473273e-05,,,,,,,,,,,,,,,-0.0002973599375055929,
36,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,125.0,MTT,TetrazoliumSalt,94.648,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,3000.0,-0.008933333333333333,,0.12513333333333332,-0.902626986434335,0.04527666666666667,-1.344125554027397,,,,,0.020028103333333335,-1.6983601765610905,-2.3796838927366365e-05,,,,,,,,,,,,,,,-0.00014867996875279644,
37,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,250.0,MTT,TetrazoliumSalt,103.1,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,6000.0,-0.0044666666666666665,,0.06256666666666666,-1.203656982098316,0.022638333333333337,-1.6451555496913783,,,,,0.010014051666666668,-1.9993901722250718,-1.1898419463683182e-05,,,,,,,,,,,,,,,-7.433998437639822e-05,
38,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,500.0,MTT,TetrazoliumSalt,105.63,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,12000.0,-0.0022333333333333333,,0.03128333333333333,-1.5046869777622973,0.011319166666666668,-1.9461855453553594,,,,,0.005007025833333334,-2.300420167889053,-5.949209731841591e-06,,,,,,,,,,,,,,,-3.716999218819911e-05,
39,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1000.0,MTT,TetrazoliumSalt,80.493,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431,24000.0,-0.0011166666666666666,,0.015641666666666665,-1.8057169734262786,0.005659583333333334,-2.2472155410193406,,,,,0.002503512916666667,-2.601450163553034,-2.9746048659207956e-06,,,,,,,,,,,,,,,-1.8584996094099555e-05,
40,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1.95,MTT,TetrazoliumSalt,120.0,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,23.4,0.9273504273504274,-0.03275612356161331,18.675213675213676,1.271265579560279,6.073076923076924,0.7834087820374763,,,,,2.567705555555556,0.40954522074842903,0.0021220833577812984,-2.6732375605320353,,,,,,,,,,,,,,0.015434152898659024,-1.811517201720185
41,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,3.9,MTT,TetrazoliumSalt,119.41,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,46.8,0.4636752136752137,-0.3337861192255945,9.337606837606838,0.9702355838962978,3.036538461538462,0.4823787863734951,,,,,1.283852777777778,0.10851522508444782,0.0010610416788906492,-2.974267556196016,,,,,,,,,,,,,,0.007717076449329512,-2.1125471973841665
42,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,7.8,MTT,TetrazoliumSalt,109.52,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,93.6,0.23183760683760685,-0.6348161148895757,4.668803418803419,0.6692055882323167,1.518269230769231,0.18134879070951393,,,,,0.641926388888889,-0.19251477057953337,0.0005305208394453246,-3.2752975518599974,,,,,,,,,,,,,,0.003858538224664756,-2.4135771930481473
43,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,15.6,MTT,TetrazoliumSalt,111.3,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,187.2,0.11591880341880342,-0.9358461105535569,2.3344017094017095,0.36817559256833543,0.7591346153846155,-0.11968120495446727,,,,,0.3209631944444445,-0.49354476624351457,0.0002652604197226623,-3.5763275475239786,,,,,,,,,,,,,,0.001929269112332378,-2.7146071887121286
44,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,31.2,MTT,TetrazoliumSalt,114.86,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,374.4,0.05795940170940171,-1.2368761062175382,1.1672008547008548,0.06714559690435425,0.37956730769230773,-0.42071120061844847,,,,,0.16048159722222224,-0.7945747619074958,0.00013263020986133115,-3.87735754318796,,,,,,,,,,,,,,0.000964634556166189,-3.01563718437611
45,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,62.5,MTT,TetrazoliumSalt,116.05,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,750.0,0.028933333333333332,-1.5386015295431705,0.5826666666666667,-0.2345798264212782,0.18948,-0.7224366239440809,,,,,0.08011241333333334,-1.0963001852331282,6.620900076277651e-05,-4.179082966513592,,,,,,,,,,,,,,0.00048154557043816155,-3.3173626077017424
46,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,125.0,MTT,TetrazoliumSalt,106.95,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,1500.0,0.014466666666666666,-1.8396315252071518,0.29133333333333333,-0.5356098220852594,0.09474,-1.0234666196080622,,,,,0.04005620666666667,-1.3973301808971095,3.3104500381388255e-05,-4.480112962177573,,,,,,,,,,,,,,0.00024077278521908077,-3.6183926033657237
47,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,250.0,MTT,TetrazoliumSalt,73.74,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,3000.0,0.007233333333333333,-2.140661520871133,0.14566666666666667,-0.8366398177492406,0.04737,-1.3244966152720432,,,,,0.020028103333333335,-1.6983601765610905,1.6552250190694127e-05,-4.7811429578415545,,,,,,,,,,,,,,0.00012038639260954039,-3.919422599029705
48,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,500.0,MTT,TetrazoliumSalt,93.904,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,6000.0,0.0036166666666666665,-2.4416915165351143,0.07283333333333333,-1.1376698134132217,0.023685,-1.6255266109360245,,,,,0.010014051666666668,-1.9993901722250718,8.276125095347064e-06,-5.082172953505536,,,,,,,,,,,,,,6.0193196304770194e-05,-4.220452594693686
49,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1000.0,MTT,TetrazoliumSalt,76.31,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,12000.0,0.0018083333333333332,-2.7427215121990955,0.03641666666666667,-1.438699809077203,0.0118425,-1.9265566066000057,,,,,0.005007025833333334,-2.300420167889053,4.138062547673532e-06,-5.383202949169517,,,,,,,,,,,,,,3.0096598152385097e-05,-4.521482590357667
50,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1.95,MTT,TetrazoliumSalt,104.15,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,46.8,0.4636752136752137,-0.3337861192255945,9.337606837606838,0.9702355838962978,3.036538461538462,0.4823787863734951,,,,,1.283852777777778,0.10851522508444782,0.0010610416788906492,-2.974267556196016,,,,,,,,,,,,,,0.007717076449329512,-2.1125471973841665
51,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,3.9,MTT,TetrazoliumSalt,102.89,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,93.6,0.23183760683760685,-0.6348161148895757,4.668803418803419,0.6692055882323167,1.518269230769231,0.18134879070951393,,,,,0.641926388888889,-0.19251477057953337,0.0005305208394453246,-3.2752975518599974,,,,,,,,,,,,,,0.003858538224664756,-2.4135771930481473
52,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,7.8,MTT,TetrazoliumSalt,102.04,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,187.2,0.11591880341880342,-0.9358461105535569,2.3344017094017095,0.36817559256833543,0.7591346153846155,-0.11968120495446727,,,,,0.3209631944444445,-0.49354476624351457,0.0002652604197226623,-3.5763275475239786,,,,,,,,,,,,,,0.001929269112332378,-2.7146071887121286
53,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,15.6,MTT,TetrazoliumSalt,94.225,10.3109/15376516.2015.1070229,,,437.0,21.7,PC12,60.08431,374.4,0.05795940170940171,-1.2368761062175382,1.1672008547008548,0.06714559690435425,0.37956730769230773,-0.42071120061844847,,,,,0.16048159722222224,-0.7945747619074958,0.00013263020986133115,-3.87735754318796,,,,,,,,,,,,,,0.000964634556166189,-3.01563718437611
